"modelo","cenario","fold","importancia_positiva","maior_rank_importancia_positiva","maxdiff_pred_100_10","maxdiff_pred_100_1","pred_100_10_identica","pred_100_1_identica"
"MARS","C1",1,10,10,0,0,TRUE,TRUE
"MARS","C1",2,10,10,0,0,TRUE,TRUE
"MARS","C1",3,10,10,0,0,TRUE,TRUE
"MARS","C1",4,10,10,0,0,TRUE,TRUE
"MARS","C1",5,10,10,0,0,TRUE,TRUE
"MARS","C2",1,10,10,0,0,TRUE,TRUE
"MARS","C2",2,10,10,0,0,TRUE,TRUE
"MARS","C2",3,10,10,0,0,TRUE,TRUE
"MARS","C2",4,10,10,0,0,TRUE,TRUE
"MARS","C2",5,10,10,0,0,TRUE,TRUE
"MARS","C3",1,10,10,0,0,TRUE,TRUE
"MARS","C3",2,10,10,0,0,TRUE,TRUE
"MARS","C3",3,10,10,0,0,TRUE,TRUE
"MARS","C3",4,10,10,0,0,TRUE,TRUE
"MARS","C3",5,10,10,0,0,TRUE,TRUE
"MARS","C4",1,10,10,0,0,TRUE,TRUE
"MARS","C4",2,10,10,0,0,TRUE,TRUE
"MARS","C4",3,10,10,0,0,TRUE,TRUE
"MARS","C4",4,10,10,0,0,TRUE,TRUE
"MARS","C4",5,10,10,0,0,TRUE,TRUE
"MARS","C5",1,10,10,0,0,TRUE,TRUE
"MARS","C5",2,10,10,0,0,TRUE,TRUE
"MARS","C5",3,10,10,0,0,TRUE,TRUE
"MARS","C5",4,10,10,0,0,TRUE,TRUE
"MARS","C5",5,10,10,0,0,TRUE,TRUE
"MARS","C6",1,10,10,0,0,TRUE,TRUE
"MARS","C6",2,10,10,0,0,TRUE,TRUE
"MARS","C6",3,10,10,0,0,TRUE,TRUE
"MARS","C6",4,10,10,0,0,TRUE,TRUE
"MARS","C6",5,10,10,0,0,TRUE,TRUE
"TREE","C1",1,69,69,2.15830489361703,4.55519702241547,FALSE,FALSE
"TREE","C1",2,65,65,4.2632564145606e-14,4.66663986013991,TRUE,FALSE
"TREE","C1",3,69,69,7.105427357601e-14,4.46836885387066,TRUE,FALSE
"TREE","C1",4,70,70,2.41511028921023,4.30013526220624,FALSE,FALSE
"TREE","C1",5,78,78,4.2632564145606e-14,4.51453551698397,TRUE,FALSE
"TREE","C2",1,104,104,5.6843418860808e-14,2.25532055137846,TRUE,FALSE
"TREE","C2",2,111,111,4.2632564145606e-14,2.01961202247196,TRUE,FALSE
"TREE","C2",3,98,98,7.105427357601e-14,2.31122444444442,TRUE,FALSE
"TREE","C2",4,93,93,0.787667375886556,2.13804923076924,FALSE,FALSE
"TREE","C2",5,99,99,1.03279844617097,2.08429887820513,FALSE,FALSE
"TREE","C3",1,116,116,0.809930077691504,1.86906055646485,FALSE,FALSE
"TREE","C3",2,85,85,5.6843418860808e-14,1.59023814102564,TRUE,FALSE
"TREE","C3",3,81,81,5.6843418860808e-14,1.54412194805199,TRUE,FALSE
"TREE","C3",4,107,107,2.8421709430404e-14,1.96507237851657,TRUE,FALSE
"TREE","C3",5,105,105,1.111247490179,1.83489196969694,FALSE,FALSE
"TREE","C4",1,98,98,0.0566805194805227,1.41812823644356,FALSE,FALSE
"TREE","C4",2,99,99,4.2632564145606e-14,1.61632539735095,TRUE,FALSE
"TREE","C4",3,98,98,4.2632564145606e-14,1.71600478260871,TRUE,FALSE
"TREE","C4",4,105,105,7.105427357601e-14,1.58578885400304,TRUE,FALSE
"TREE","C4",5,95,95,1.11858403361343,1.88926884057979,FALSE,FALSE
"TREE","C5",1,89,89,5.6843418860808e-14,1.51814682685256,TRUE,FALSE
"TREE","C5",2,97,97,5.6843418860808e-14,1.34339916666671,TRUE,FALSE
"TREE","C5",3,95,95,0.833291666666653,1.51154000000001,FALSE,FALSE
"TREE","C5",4,90,90,5.6843418860808e-14,1.28501717506637,TRUE,FALSE
"TREE","C5",5,105,105,2.8421709430404e-14,1.3402662805663,TRUE,FALSE
"TREE","C6",1,74,74,7.105427357601e-14,1.25070130624091,TRUE,FALSE
"TREE","C6",2,88,88,4.2632564145606e-14,1.10358095238091,TRUE,FALSE
"TREE","C6",3,89,89,5.6843418860808e-14,1.35909478114479,TRUE,FALSE
"TREE","C6",4,82,82,5.6843418860808e-14,1.19934633879778,TRUE,FALSE
"TREE","C6",5,103,103,4.2632564145606e-14,1.59747876564523,TRUE,FALSE
