"cenario","metodo","percentual_p","media_r","sd_r","n_r","media_rmse","sd_rmse","n_rmse","media_delta_r","sd_delta_r","n.x","media_delta_rmse","sd_delta_rmse","n.y"
"C1","BAGGING",100,0.879181090617269,0.0141275081289428,5,0.950011037103157,0.0609179027447844,5,0,0,5,0,0,5
"C1","BAGGING",50,0.880167444018347,0.0125489007819918,5,0.945140312294559,0.0551952869756603,5,-0.000986353401077489,0.00229349235338708,5,-0.00487072480859807,0.00824684154205695,5
"C1","BAGGING",25,0.882269007697697,0.0138867045351326,5,0.933588942118026,0.0570077174816834,5,-0.00308791708042764,0.00332643251010181,5,-0.0164220949851317,0.012097782743611,5
"C1","BAGGING",10,0.887734101208674,0.0109337029822508,5,0.908523522620955,0.0560587397121273,5,-0.00855301059140432,0.00512441636923725,5,-0.0414875144822024,0.0141080704776089,5
"C1","BAGGING",5,0.897561527341382,0.0124006140624477,5,0.8629801263171,0.0517710866208001,5,-0.0183804367241128,0.00832327120662996,5,-0.087030910786057,0.0331618011886271,5
"C1","BAGGING",1,0.886100169410271,0.0452833078228311,5,0.901462486172013,0.173586379927227,5,-0.00691907879300182,0.0411430961385357,5,-0.0485485509311448,0.178644335355395,5
"C1","BOOSTING",100,0.913031305624258,0.0119882882717636,5,0.964598326356937,0.0541393351796913,5,0,0,5,0,0,5
"C1","BOOSTING",50,0.912845885960665,0.0149046532608853,5,0.964342636637891,0.0673070825721232,5,0.000185419663592601,0.00348600751606537,5,-0.000255689719045704,0.0138259902200267,5
"C1","BOOSTING",25,0.914481457886039,0.0132522250656631,5,0.956185220137883,0.062432726285365,5,-0.00145015226178158,0.003317915792734,5,-0.00841310621905429,0.014551241843996,5
"C1","BOOSTING",10,0.915259776744251,0.0130692461535202,5,0.949863651637211,0.0632200854230883,5,-0.00222847111999323,0.00219232617041254,5,-0.0147346747197259,0.0103837594508234,5
"C1","BOOSTING",5,0.914783620558727,0.0141444526373694,5,0.94475771458674,0.069596845567098,5,-0.0017523149344697,0.00310148366689074,5,-0.0198406117701973,0.0159213326594771,5
"C1","BOOSTING",1,0.927655068703259,0.0155133259032359,5,0.863494398696068,0.0742922523237024,5,-0.0146237630790017,0.00435306326961295,5,-0.101103927660869,0.0246808697880493,5
"C1","GBLUP",100,0.63640912724717,0.0199012157476382,5,1.50688961894567,0.0173190174117305,5,0,0,5,0,0,5
"C1","GBLUP",50,0.630047264337296,0.0171988701049551,5,1.52110091246118,0.0119348610140576,5,0.00636186290987455,0.00733127036424489,5,0.0142112935155085,0.01355838060011,5
"C1","GBLUP",25,0.628137993886923,0.0168301023322322,5,1.5293637467171,0.0147886468479015,5,0.00827113336024765,0.0111946994315786,5,0.0224741277714294,0.0179812224443199,5
"C1","GBLUP",10,0.653960569314822,0.023532774291249,5,1.48215703973827,0.0269639081487824,5,-0.0175514420676517,0.0118022445301562,5,-0.0247325792073938,0.0214113603967725,5
