"cenario","percentual_p","metodo","media_r","sd_r","media_delta_r"
"C1",100,"BOOSTING",0.913031305624258,0.0119882882717636,0
"C1",50,"BOOSTING",0.912845885960665,0.0149046532608853,0.000185419663592601
"C1",25,"BOOSTING",0.914481457886039,0.0132522250656631,-0.00145015226178158
"C1",10,"BOOSTING",0.915259776744251,0.0130692461535202,-0.00222847111999323
"C1",5,"BOOSTING",0.914783620558727,0.0141444526373694,-0.0017523149344697
"C1",1,"BOOSTING",0.927655068703259,0.0155133259032359,-0.0146237630790017
"C2",100,"RF",0.773628581257954,0.0132466737020924,0
"C2",50,"RF",0.770641922376763,0.0169932355843669,0.00298665888119118
"C2",25,"BAGGING",0.764381504653284,0.0201025133907832,0.00510659207101742
"C2",10,"BAGGING",0.756605869462286,0.0248496341028158,0.0128822272620153
"C2",5,"BAGGING",0.739990685510844,0.0242360065646095,0.0294974112134578
"C2",1,"BOOSTING",0.651509890748792,0.0329938095752604,0.104011191732423
"C3",100,"GBLUP",0.805637470635843,0.02040215138862,0
"C3",50,"GBLUP",0.801274600770343,0.0214980393197135,0.00436286986550019
"C3",25,"GBLUP",0.797164180877988,0.0252795308228817,0.00847328975785553
"C3",10,"GBLUP",0.776687326886709,0.0267348349321057,0.0289501437491345
"C3",5,"BOOSTING",0.757528359116426,0.0344154508071635,0.0183661947533253
"C3",1,"BOOSTING",0.664638380664742,0.0482414113781578,0.111256173205009
"C4",100,"GBLUP",0.850559025680089,0.0158895811873427,0
"C4",50,"GBLUP",0.843344591253277,0.0177111784694214,0.00721443442681211
"C4",25,"GBLUP",0.834054768623519,0.0142725839618947,0.0165042570565702
"C4",10,"BAGGING",0.828510314668491,0.010996224403872,0.00764118634478155
"C4",5,"BAGGING",0.808095398499674,0.0144769219454356,0.0280561025135987
"C4",1,"BOOSTING",0.726052957152957,0.0265632608286859,0.100656709976312
"C5",100,"GBLUP",0.857713094442199,0.015123727695261,0
"C5",50,"GBLUP",0.845326869587419,0.0178074571655626,0.01238622485478
"C5",25,"GBLUP",0.836512632999897,0.0111470816566242,0.0212004614423014
"C5",10,"GBLUP",0.82271064054434,0.0181521063854225,0.0350024538978584
"C5",5,"BOOSTING",0.810121176684971,0.0176081254908986,0.0262938188114207
"C5",1,"BOOSTING",0.730096844221372,0.0181998825931087,0.10631815127502
"C6",100,"GBLUP",0.892961087042525,0.00974655049745995,0
"C6",50,"GBLUP",0.882852467795017,0.00967920023682332,0.0101086192475073
"C6",25,"GBLUP",0.871302534916774,0.0149139691694847,0.0216585521257507
"C6",10,"BOOSTING",0.859943293691517,0.0208725210343135,0.0154803559534164
"C6",5,"BOOSTING",0.848117221153685,0.018312524954023,0.0273064284912482
"C6",1,"BOOSTING",0.773184288529547,0.0139240148358123,0.102239361115386
