"cenario","metodo","percentual_p","media_r","sd_r","media_delta_r","media_rmse","media_delta_rmse"
"C1","BAGGING",100,0.879181090617269,0.0141275081289428,0,0.950011037103157,0
"C1","BAGGING",10,0.887734101208674,0.0109337029822508,-0.00855301059140432,0.908523522620955,-0.0414875144822024
"C1","BAGGING",1,0.886100169410271,0.0452833078228311,-0.00691907879300182,0.901462486172013,-0.0485485509311448
"C1","BOOSTING",100,0.913031305624258,0.0119882882717636,0,0.964598326356937,0
"C1","BOOSTING",10,0.915259776744251,0.0130692461535202,-0.00222847111999323,0.949863651637211,-0.0147346747197259
"C1","BOOSTING",1,0.927655068703259,0.0155133259032359,-0.0146237630790017,0.863494398696068,-0.101103927660869
"C1","GBLUP",100,0.63640912724717,0.0199012157476382,0,1.50688961894567,0
"C1","GBLUP",10,0.653960569314822,0.023532774291249,-0.0175514420676517,1.48215703973827,-0.0247325792073938
"C1","GBLUP",1,0.606823179620905,0.0849575285545795,0.0295859476262649,1.54166185868743,0.0347722397417634
"C1","MARS",100,0.815377901588295,0.0295699769465001,0,1.12646616892735,0
"C1","MARS",10,0.815377901588295,0.0295699769465001,0,1.12646616892735,0
"C1","MARS",1,0.815377901588295,0.0295699769465001,0,1.12646616892735,0
"C1","RF",100,0.878947808876391,0.0140911593625737,0,0.954323345197938,0
"C1","RF",10,0.89764398695956,0.00984066530011262,-0.0186961780831691,0.869444147228197,-0.0848791979697416
"C1","RF",1,0.85655098347728,0.0538291237963912,0.0223968253991114,1.00743882423579,0.0531154790378508
"C1","TREE",100,0.800992243948587,0.0369510644457083,0,1.17767474671783,0
"C1","TREE",10,0.800284521192055,0.0365958687089108,0.000707722756532192,1.17948638855536,0.0018116418375238
"C1","TREE",1,0.66685495627352,0.0707756179551228,0.134137287675067,1.44463817944613,0.266963432728301
"C2","BAGGING",100,0.769488096724301,0.0131798587060007,0,0.680584568838583,0
"C2","BAGGING",10,0.756605869462286,0.0248496341028158,0.0128822272620153,0.678357507117381,-0.00222706172120242
"C2","BAGGING",1,0.596800580694652,0.0253261879129335,0.17268751602965,0.768612109386606,0.0880275405480228
"C2","BOOSTING",100,0.755521082481215,0.0132266053611522,0,0.696006458592696,0
"C2","BOOSTING",10,0.743155204302053,0.0143751146175879,0.0123658781791623,0.70335820552939,0.0073517469366938
"C2","BOOSTING",1,0.651509890748792,0.0329938095752604,0.104011191732423,0.747125713783481,0.0511192551907855
"C2","GBLUP",100,0.747993255208468,0.0286609978741787,0,0.635130715368587,0
"C2","GBLUP",10,0.736363600029533,0.0245084826640509,0.0116296551789352,0.648564307402844,0.0134335920342568
"C2","GBLUP",1,0.472099928326039,0.0606262587508832,0.275893326882429,0.846470767233987,0.2113400518654
"C2","MARS",100,0.542679814135486,0.0598246009125492,0,0.814983241101796,0
"C2","MARS",10,0.542679814135486,0.0598246009125492,0,0.814983241101796,0
"C2","MARS",1,0.542679814135486,0.0598246009125492,0,0.814983241101796,0
"C2","RF",100,0.773628581257954,0.0132466737020924,0,0.677480305639278,0
"C2","RF",10,0.754354781112349,0.025481697263936,0.0192738001456048,0.677359934810818,-0.00012037082845997
